time,frequency,confidence
0.000,747.081,0.497416
0.010,373.151,0.822449
0.020,374.412,0.911688
0.030,376.148,0.864641
0.040,375.655,0.788553
0.050,370.856,0.595223
0.060,365.289,0.549676
0.070,363.378,0.430045
0.080,362.851,0.185576
0.090,663.201,0.316424
0.100,124.795,0.103706
0.110,124.336,0.168682
0.120,659.257,0.161803
0.130,659.872,0.422115
0.140,660.785,0.663732
0.150,442.496,0.325006
0.160,221.512,0.649925
0.170,220.454,0.628623
0.180,219.963,0.455588
0.190,660.672,0.714753
0.200,660.054,0.486746
0.210,371.378,0.275701
0.220,372.063,0.168886
0.230,370.192,0.144734
0.240,439.900,0.266020
0.250,441.360,0.251625
0.260,886.000,0.158378
0.270,881.284,0.220668
0.280,743.595,0.231411
0.290,737.224,0.293091
0.300,739.371,0.129546
0.310,444.532,0.566394
0.320,444.869,0.732213
0.330,443.781,0.825945
0.340,441.964,0.854540
0.350,441.356,0.691920
0.360,440.062,0.573020
0.370,439.028,0.719770
0.380,440.302,0.848153
0.390,441.736,0.839857
0.400,441.507,0.829527
0.410,439.300,0.714177
0.420,439.122,0.735413
0.430,440.067,0.777437
0.440,440.732,0.773107
0.450,441.240,0.568793
0.460,442.311,0.421398
0.470,442.235,0.408700
0.480,440.713,0.439287
0.490,441.481,0.625432
0.500,443.652,0.522277
0.510,444.447,0.437116
0.520,442.071,0.323928
0.530,440.032,0.289301
0.540,439.690,0.275443
0.550,330.832,0.604668
0.560,331.518,0.739564
0.570,331.241,0.685971
0.580,372.293,0.368547
0.590,370.047,0.390015
0.600,442.118,0.344482
0.610,444.252,0.363990
0.620,332.150,0.366126
0.630,330.730,0.374897
0.640,330.217,0.424466
0.650,330.680,0.450967
0.660,660.797,0.205701
0.670,378.205,0.192590
0.680,434.942,0.149964
0.690,439.853,0.341410
0.700,441.776,0.299671
0.710,369.912,0.164090
0.720,370.981,0.209802
0.730,122.491,0.254925
0.740,883.995,0.119907
0.750,882.256,0.170806
0.760,370.116,0.308705
0.770,370.874,0.384940
0.780,372.670,0.252845
0.790,883.003,0.261520
0.800,442.603,0.413884
0.810,442.935,0.574019
0.820,442.203,0.433959
0.830,441.421,0.381696
0.840,441.394,0.319954
0.850,367.179,0.468144
0.860,366.140,0.494852
0.870,442.131,0.436392
0.880,442.307,0.196231
0.890,331.005,0.280383
0.900,329.073,0.459570
0.910,329.527,0.187482
0.920,437.813,0.313843
0.930,440.258,0.639719
0.940,441.533,0.727918
0.950,441.055,0.554937
0.960,442.188,0.298492
0.970,331.684,0.201067
0.980,331.003,0.113464
0.990,367.311,0.507083
1.000,365.013,0.643400
1.010,445.501,0.410578
